ORDERNUMBER;ORDERDATE;PRODUCTCODE;QUANTITYORDERED;PRICEEACH;PRODUCTLINE;CUSTOMERNUMBER;CUSTOMERNAME;CITY;STATE;POSTALCODE;COUNTRY;FIRSTNAME;LASTNAME;EMAIL;OFFICECODE;CITY_1;STATE_1;COUNTRY_1;POSTALCODE_1;TERRITORY
10135; 2019.07.02;S18_3482;42;139,64;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S18_3782;45;49,74;Motorcycles;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S18_4721;31;133,92;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S24_2360;29;67,18;Motorcycles;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S24_2972;20;34,36;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S24_3371;27;52,05;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S24_3856;47;139,03;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S24_4620;23;76,8;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S32_2206;33;38,62;Motorcycles;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S32_4485;30;91,85;Motorcycles;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S50_4713;44;78,92;Motorcycles;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S12_1108;33;166,24;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S12_3148;33;140,5;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S12_3891;46;167,83;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S18_3140;47;129,76;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S18_3259;22;95,8;Trains;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S18_4027;24;122,08;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S18_4522;24;79,87;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S24_2011;33;114,29;Ships;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S24_3151;49;74,35;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S32_3207;42;60,9;Trains;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S50_1514;42;56,24;Trains;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S700_1138;41;55,34;Ships;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S700_1938;43;77,08;Ships;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S700_3505;21;92,16;Ships;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S700_3962;38;91,37;Ships;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10142; 2019.08.08;S72_3212;39;46,96;Ships;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_1342;25;83,22;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_1367;32;44,21;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_1749;44;159,8;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_2248;38;54,49;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_2325;20;105,52;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_2795;21;135;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_3320;33;86,31;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_4409;36;88,35;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S18_4933;44;61,29;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S24_1046;47;63,2;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S24_1937;39;31,86;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S24_2022;31;39,87;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S24_2766;36;87,24;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S24_2887;20;116,27;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S24_3191;33;73,62;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S24_3432;49;95,3;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10182; 2019.11.12;S24_3969;23;34,88;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S10_4962;50;138,88;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S12_1666;25;110,7;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S12_4473;36;95,99;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S18_2319;26;104,32;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S18_2432;28;53,48;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S18_3232;22;157,49;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S18_4600;41;119,87;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S18_4668;39;43,77;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S24_2300;48;115,01;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S24_2840;33;34,65;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S32_1268;25;78,97;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S32_2509;23;49,78;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S32_3522;30;52,36;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10229; 2020.03.11;S700_2824;50;91,04;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S12_4473;31;99,54;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S18_2238;50;147,36;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S18_2319;50;121,5;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S18_2432;25;59,55;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S18_3232;20;169,34;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S24_1444;45;49,71;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S24_2300;43;122,68;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S24_2840;38;28,64;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S24_4048;22;110;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S32_2509;35;51,95;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10271; 2020.07.20;S50_1392;34;93,76;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S12_1108;41;176,63;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S12_3148;27;142,02;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S12_3891;24;169,56;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S18_2238;23;147,36;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S18_3140;43;122,93;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S18_3259;36;88,74;Trains;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S18_4027;31;132,13;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S24_1444;29;49,71;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S24_4048;39;96,99;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S32_3207;36;51,58;Trains;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S50_1392;38;114,59;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S50_1514;37;56,24;Trains;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10282; 2020.08.20;S700_1938;43;77,95;Ships;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S10_1949;48;214,3;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_1097;32;101,5;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_1342;43;102,74;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_1367;25;43,67;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_1749;48;146,2;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_2248;30;48,43;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_2325;31;111,87;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_2795;25;150,19;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_2949;37;91,18;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_2957;35;54,34;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_3136;38;93,2;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_3320;33;84,33;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S18_4668;39;44,27;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S24_1937;39;27,88;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S24_2022;23;43,46;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S24_3969;31;40,21;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10312; 2020.10.21;S24_4258;44;96,42;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10335; 2020.11.19;S24_2840;33;32,88;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10335; 2020.11.19;S32_1268;44;77,05;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10335; 2020.11.19;S32_2509;40;49,78;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S10_1949;32;199,3;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S10_4962;43;135,92;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S12_1666;49;109,34;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S18_1097;39;112;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S18_2432;41;58,95;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S18_2949;41;91,18;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S18_2957;49;59,34;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S18_3136;44;104,72;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S18_3320;25;84,33;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10357; 2020.12.10;S18_4600;28;105,34;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10368; 2021.01.19;S24_2766;40;73,6;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10368; 2021.01.19;S24_2887;31;115,09;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
